Ma CP	Gia Tran	Gia San	Gia Tham Chieu	Gia Khop	Thay doi Gia	% Thay doi	KLGD	GTGD	TL A/H Von Hoa	TL A/H Thuc Te	Diem A/H Tung CP	KLNY
CTG	19.3	17.5	18.4	18.4	0	0.00%	146,080	2,687.88	11.22%	0.00%	0.00	516,311,593
HAG	20.7	18.9	19.8	19.8	0	0.00%	737,790	14,573.61	2.48%	0.00%	0.00	537,371,049
HVG	22.5	20.5	21.5	21.5	0	0.00%	20,700	447.11	0.40%	0.00%	0.00	79,197,669
QCG	6.9	6.3	6.6	6.6	0	0.00%	11,030	72.79	0.20%	0.00%	0.00	127,076,862
SBT	14.1	12.9	13.5	13.5	0	0.00%	66,990	912.15	0.40%	0.00%	0.00	141,905,800
STB	19.3	17.5	18.4	18.4	0	0.00%	358,040	6,581.09	4.17%	0.00%	0.00	1,073,967,664
VNM	135	123	129	129	0	0.00%	48,300	6,231.20	16.68%	0.00%	0.00	556,114,754
VSH	11.3	10.3	10.8	10.8	0	0.00%	127,510	1,373.49	0.51%	0.00%	0.00	206,241,246
BVH	28.8	26.2	27.5	27.3	-0.2	-0.73%	190,570	5,236.28	4.32%	-3.14%	-0.60	680,471,434
CII	25.6	23.2	24.4	24.2	-0.2	-0.82%	626,620	15,275.58	0.64%	-0.52%	-0.10	112,801,500
DIG	13	11.8	12.4	12.3	-0.1	-0.81%	383,080	4,740.35	0.36%	-0.29%	-0.06	129,997,818
DPM	36.6	33.2	34.9	34.7	-0.2	-0.57%	146,150	5,093.18	3.05%	-1.75%	-0.33	380,000,000
HPG	19.5	17.7	18.6	18.2	-0.4	-2.15%	250,040	4,726.43	1.77%	-3.82%	-0.73	349,211,108
IJC	8.4	7.6	8	7.9	-0.1	-1.25%	89,820	717.46	0.50%	-0.63%	-0.12	274,194,525
KDC	42	38	40	39.5	-0.5	-1.25%	52,140	2,066.28	1.46%	-1.82%	-0.35	159,921,625
OGC	8.4	7.6	8	7.9	-0.1	-1.25%	84,300	668.79	0.55%	-0.69%	-0.13	300,000,000
PVD	35.8	32.4	34.1	34	-0.1	-0.29%	111,100	3,860.36	1.66%	-0.49%	-0.09	210,508,215
PVF	7.3	6.7	7	6.9	-0.1	-1.43%	88,650	617.04	0.96%	-1.38%	-0.26	600,000,000
REE	15.4	14	14.7	14.6	-0.1	-0.68%	130,200	1,912.91	0.83%	-0.57%	-0.11	236,643,385
SSI	15	13.6	14.3	14.2	-0.1	-0.70%	339,560	4,848.53	1.16%	-0.81%	-0.15	352,611,742
VCB	24.5	22.3	23.4	23.3	-0.1	-0.43%	422,030	10,066.68	12.56%	-5.37%	-1.03	2,317,417,076
VIC	77.5	70.5	74	73.5	-0.5	-0.68%	51,470	3,776.94	11.98%	-8.09%	-1.55	700,462,055
ITA	4	3.8	3.9	3.8	-0.1	-2.56%	850,530	3,234.46	0.39%	-1.01%	-0.19	445,155,209
EIB	14.8	13.4	14.1	14.3	0.2	1.42%	207,680	2,954.91	4.11%	5.83%	1.12	1,235,522,904
FPT	34.2	31	32.6	32.7	0.1	0.31%	44,430	1,450.90	2.08%	0.64%	0.12	273,848,833
KDH	10.2	9.4	9.8	9.9	0.1	1.02%	43,670	429.07	0.10%	0.10%	0.02	43,900,000
MSN	91.5	83.5	87.5	88	0.5	0.57%	5,690	500.09	14.07%	8.04%	1.54	687,280,123
PNJ	33.1	30.1	31.6	31.9	0.3	0.95%	19,890	628.88	0.53%	0.51%	0.10	71,997,835
GMD	17	15.4	16.2	17	0.8	4.94%	145,930	2,355.02	0.41%	2.01%	0.39	109,007,090
SJS	19.1	17.3	18.2	19.1	0.9	4.95%	52,620	997.25	0.44%	2.18%	0.42	100,000,000

